# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
     0      1      2  0.009250  0.004991  0.004259
     1      1      3  0.014750  0.009981  0.004769
     2      1      4  0.017750  0.014952  0.002798
     3      1      5  0.018750  0.018598  0.000152
     4      1      6  0.019000  0.019100  -0.000100
     5      1      7  0.019750  0.020091  -0.000341
     6      1      8  0.021500  0.021347  0.000153
     7      1      9  0.022500  0.021448  0.001052
     8      1     10  0.021500  0.022047  -0.000547
     9      1     11  0.022000  0.024183  -0.002183
    10      1     12  0.022000  0.022983  -0.000983
    11      1     13  0.022250  0.022803  -0.000553
    12      1     14  0.022250  0.022585  -0.000335
    13      1     15  0.022750  0.022734  0.000016
    14      1     16  0.022000  0.022729  -0.000729
    15      1     17  0.022750  0.023107  -0.000357
    16      1     18  0.023500  0.024304  -0.000804
    17      1     19  0.024250  0.024431  -0.000181
    18      1     20  0.024750  0.024901  -0.000151
    19      1     21  0.024750  0.024695  0.000055
    20      1     22  0.026250  0.025878  0.000372
    21      1     23  0.026250  0.026344  -0.000094
    22      1     24  0.026750  0.027262  -0.000512
    23      1     25  0.028500  0.027953  0.000547
    24      1     26  0.029000  0.028836  0.000164
    25      1     27  0.029000  0.028834  0.000166
    26      1     28  0.028750  0.028705  0.000045
    27      1     29  0.029250  0.029037  0.000213
    28      1     30  0.028750  0.028849  -0.000099
    29      1     31  0.030000  0.028285  0.001715
    30      1     32  0.030250  0.029665  0.000585
    31      1     33  0.030750  0.030270  0.000480
    32      1     34  0.030750  0.030477  0.000273
    33      1     35  0.031000  0.030929  0.000071
    34      1     36  0.030400  0.031348  -0.000948
    35      1     37  0.031310  0.031633  -0.000323
    36      1     38  0.033130  0.032332  0.000798
    37      1     39  0.034940  0.033197  0.001743
    38      1     40  0.034450  0.033444  0.001006
    39      1     41  0.035600  0.033215  0.002385
    40      1     42  0.035500  0.034628  0.000872
    41      1     43  0.035350  0.034703  0.000647
    42      1     44  0.035280  0.035129  0.000151
    43      1     46  0.036430  0.035421  0.001009
    44      1     47  0.036920  0.035615  0.001305
    45      1     48  0.037420  0.035941  0.001479
    46      1     49  0.038740  0.036618  0.002122
    47      1     50  0.037590  0.036832  0.000758
    48      1     51  0.038410  0.035354  0.003056
    49      1     52  0.039400  0.036316  0.003084
    50      1     53  0.035990  0.037011  -0.001021
    51      1     54  0.037140  0.037516  -0.000376
    52      1     55  0.038000  0.038042  -0.000042
    53      1     56  0.038580  0.038023  0.000557
    54      1     57  0.039730  0.038539  0.001191
    55      1     58  0.039440  0.038780  0.000660
    56      1     59  0.040020  0.038966  0.001054
    57      1     60  0.038580  0.038866  -0.000286
    58      1     61  0.038580  0.039324  -0.000744
    59      1     62  0.038580  0.039488  -0.000908
    60      1     63  0.037430  0.039168  -0.001738
    61      1     64  0.039730  0.039876  -0.000146
    62      1     65  0.039440  0.039730  -0.000290
    63      1     68  0.040880  0.040504  0.000376
    64      1     69  0.040880  0.041053  -0.000173
    65      1     70  0.041460  0.041418  0.000042
    66      1     71  0.043180  0.041711  0.001469
    67      1     72  0.043760  0.041633  0.002127
    68      1     73  0.043180  0.041686  0.001494
    69      1     74  0.042900  0.041523  0.001377
    70      1     75  0.042900  0.041552  0.001348
    71      1     76  0.043760  0.041886  0.001874
    72      1     77  0.043760  0.042532  0.001228
    73      1     78  0.042610  0.043444  -0.000834
    74      1     79  0.042610  0.043705  -0.001095
    75      1     80  0.043470  0.044689  -0.001219
    76      1     81  0.045490  0.047327  -0.001837
    77      1     82  0.045490  0.046033  -0.000543
    78      1     83  0.045490  0.045904  -0.000414
    79      1     84  0.045490  0.046045  -0.000555
    80      1     85  0.046350  0.046315  0.000035
    81      1     88  0.051250  0.048373  0.002877
    82      1     89  0.051250  0.048460  0.002790
    83      1     92  0.051530  0.048112  0.003418
    84      1     93  0.052690  0.047524  0.005166
    85      1     94  0.053550  0.048366  0.005184
    86      1     95  0.054130  0.050105  0.004025
    87      1     97  0.051530  0.049063  0.002467
    88      1     98  0.052400  0.049104  0.003296
    89      1     99  0.050960  0.049535  0.001425
    90      1    100  0.052110  0.050337  0.001773
    91      1    101  0.052110  0.052564  -0.000454
    92      1    102  0.052970  0.050518  0.002452
    93      1    103  0.051820  0.050082  0.001738
    94      1    104  0.052110  0.050266  0.001844
    95      2      1  0.026750  0.024183  0.002567
    96      2      2  0.025500  0.024483  0.001017
    97      2      3  0.025040  0.023416  0.001624
    98      2      4  0.022890  0.022702  0.000188
