# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
21.299755  -1.734485  596.529562
1.871144  -1.664714  362.261337
54.944577  -0.662127  389.586541
51.194148  -0.149362  241.065715
51.718773  -0.218180  284.326133
3.708599  -0.562852  211.104071
18.471978  -2.189673  600.345219
28.674824  -1.553317  487.920246
1.511637  -0.286017  200.447730
9.331011  -0.630990  201.050860
28.204280  -0.197631  211.730313
3.899790  -0.294209  207.412341
1.754614  -0.138961  200.446609
27.588767  -1.887582  549.279851
32.346136  -0.696459  268.577617
3.715417  -0.114035  205.363561
37.996619  -0.845955  299.748373
4.763043  -0.258655  208.325735
4.184373  -0.180174  207.704571
39.734095  -0.175200  208.665667
4.447416  -0.438829  209.010745
34.239971  -0.149777  278.332982
5.263944  -0.129110  206.010525
22.587329  -0.326585  207.578879
46.213860  -0.215970  276.984792
5.488728  -0.250060  205.072744
8.041222  -0.338450  200.407867
58.788234  -0.659071  337.012662
64.875642  -1.358922  455.851858
7.275878  -0.185963  200.646086
7.763614  -0.143987  200.417618
62.501762  -0.382609  347.664208
6.442097  -0.421249  201.724524
56.739527  -0.202911  341.818808
68.593977  -0.418079  256.324329
8.548350  -0.318441  200.270496
8.770742  -0.123977  200.175422
80.152184  -1.982150  546.249703
80.710638  -0.205269  238.376952
11.393740  -0.404134  200.401789
87.184839  -0.156730  213.747049
11.177574  -0.165386  200.211632
10.718553  -0.104355  200.132483
81.234495  -1.607767  546.632480
9.009926  -0.250258  200.180199
75.092356  -0.446154  361.243073
11.386438  -1.183193  246.511001
70.958869  -1.366058  425.279197
11.716166  -0.238748  200.377243
49.500902  -0.796732  319.996743
92.731615  -0.177184  247.739513
11.962033  -0.406502  200.592113
12.245867  -0.167753  200.597572
88.607429  -1.059926  272.767281
97.760214  -0.122710  216.170814
13.256409  -0.143223  202.014112
13.753932  -0.198500  204.054188
10.718236  -0.511358  200.602577
13.510341  -0.341723  203.220475
99.472368  -0.343182  208.012865
17.628478  -1.108990  312.266075
16.390893  -0.384520  238.713048
15.727467  -0.095704  234.571978
24.050211  -1.380210  306.895227
14.486017  -0.709180  235.740283
16.708352  -0.232727  235.732003
50.282210  -0.110721  232.481357
17.242587  -0.169967  228.726439
16.950939  -0.402695  230.719899
15.756520  -0.465922  243.856805
16.182541  -0.151793  240.311346
21.353885  -0.559358  207.707187
14.016421  -0.350586  206.651838
5.026988  -0.387765  207.666743
52.615642  -1.115229  375.388790
18.500543  -0.270284  207.594869
18.733156  -0.134376  205.597807
54.242347  -0.207197  334.862082
52.767524  -0.219819  310.215576
19.479718  -0.370397  204.040025
22.030931  -0.389434  205.176046
52.024965  -0.769125  339.206248
21.472864  -0.290938  202.971629
52.407049  -0.770764  341.719070
20.783044  -0.126682  201.798542
21.727763  -0.176565  203.174029
22.303168  -0.212869  206.461518
19.750596  -0.161381  203.209887
25.236229  -0.268069  227.321633
23.031438  -0.222229  211.023939
23.748656  -0.182158  219.344172
24.477820  -0.241235  225.255557
24.960254  -0.395894  226.328152
23.365519  -0.536021  220.571171
