# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
     0      1      2  0.009250  0.008893  0.000357
     1      1      3  0.014750  0.014437  0.000313
     2      1      4  0.017750  0.017215  0.000535
     3      1      5  0.018750  0.017851  0.000899
     4      1      6  0.019000  0.018549  0.000451
     5      1      7  0.019750  0.019437  0.000313
     6      1      8  0.021500  0.020167  0.001333
     7      1      9  0.022500  0.020870  0.001630
     8      1     10  0.021500  0.021719  -0.000219
     9      1     11  0.022000  0.023787  -0.001787
    10      1     12  0.022000  0.022445  -0.000445
    11      1     13  0.022250  0.022351  -0.000101
    12      1     14  0.022250  0.022067  0.000183
    13      1     15  0.022750  0.022087  0.000663
    14      1     16  0.022000  0.022108  -0.000108
    15      1     17  0.022750  0.022447  0.000303
    16      1     18  0.023500  0.023449  0.000051
    17      1     19  0.024250  0.023639  0.000611
    18      1     20  0.024750  0.024130  0.000620
    19      1     21  0.024750  0.024086  0.000664
    20      1     22  0.026250  0.025175  0.001075
    21      1     23  0.026250  0.025819  0.000431
    22      1     24  0.026750  0.026555  0.000195
    23      1     25  0.028500  0.027113  0.001387
    24      1     26  0.029000  0.027981  0.001019
    25      1     27  0.029000  0.027981  0.001019
    26      1     28  0.028750  0.027991  0.000759
    27      1     29  0.029250  0.028191  0.001059
    28      1     30  0.028750  0.028256  0.000494
    29      1     31  0.030000  0.027802  0.002198
    30      1     32  0.030250  0.029150  0.001100
    31      1     33  0.030750  0.029652  0.001098
    32      1     34  0.030750  0.029909  0.000841
    33      1     35  0.031000  0.030234  0.000766
    34      1     36  0.030400  0.030615  -0.000215
    35      1     37  0.031310  0.030979  0.000331
    36      1     38  0.033130  0.031618  0.001512
    37      1     39  0.034940  0.032302  0.002638
    38      1     40  0.034450  0.032815  0.001635
    39      1     41  0.035600  0.032641  0.002959
    40      1     42  0.035500  0.033759  0.001741
    41      1     43  0.035350  0.033678  0.001672
    42      1     44  0.035280  0.034256  0.001024
    43      1     46  0.036430  0.034548  0.001882
    44      1     47  0.036920  0.034894  0.002026
    45      1     48  0.037420  0.035319  0.002101
    46      1     49  0.038740  0.036045  0.002695
    47      1     50  0.037590  0.036211  0.001379
    48      1     51  0.038410  0.035069  0.003341
    49      1     52  0.039400  0.035945  0.003455
    50      1     53  0.035990  0.036759  -0.000769
    51      1     54  0.037140  0.037338  -0.000198
    52      1     55  0.038000  0.037786  0.000214
    53      1     56  0.038580  0.037897  0.000683
    54      1     57  0.039730  0.038313  0.001417
    55      1     58  0.039440  0.038474  0.000966
    56      1     59  0.040020  0.038449  0.001571
    57      1     60  0.038580  0.038307  0.000273
    58      1     61  0.038580  0.038710  -0.000130
    59      1     62  0.038580  0.039237  -0.000657
    60      1     63  0.037430  0.038908  -0.001478
    61      1     64  0.039730  0.039233  0.000497
    62      1     65  0.039440  0.039020  0.000420
    63      1     68  0.040880  0.039610  0.001270
    64      1     69  0.040880  0.040013  0.000867
    65      1     70  0.041460  0.040523  0.000937
    66      1     71  0.043180  0.041059  0.002121
    67      1     72  0.043760  0.040762  0.002998
    68      1     73  0.043180  0.040802  0.002378
    69      1     74  0.042900  0.040689  0.002211
    70      1     75  0.042900  0.040481  0.002419
    71      1     76  0.043760  0.041035  0.002725
    72      1     77  0.043760  0.041563  0.002197
    73      1     78  0.042610  0.042079  0.000531
    74      1     79  0.042610  0.042773  -0.000163
    75      1     80  0.043470  0.043602  -0.000132
    76      1     81  0.045490  0.046168  -0.000678
    77      1     82  0.045490  0.044685  0.000805
    78      1     83  0.045490  0.044692  0.000798
    79      1     84  0.045490  0.044939  0.000551
    80      1     85  0.046350  0.045354  0.000996
    81      1     88  0.051250  0.047365  0.003885
    82      1     89  0.051250  0.047627  0.003623
    83      1     92  0.051530  0.047488  0.004042
    84      1     93  0.052690  0.047142  0.005548
    85      1     94  0.053550  0.047550  0.006000
    86      1     95  0.054130  0.049156  0.004974
    87      1     97  0.051530  0.047900  0.003630
    88      1     98  0.052400  0.047970  0.004430
    89      1     99  0.050960  0.048616  0.002344
    90      1    100  0.052110  0.049376  0.002734
    91      1    101  0.052110  0.051882  0.000228
    92      1    102  0.052970  0.049800  0.003170
    93      1    103  0.051820  0.049460  0.002360
    94      1    104  0.052110  0.049558  0.002552
    95      2      1  0.026750  0.023787  0.002963
    96      2      2  0.025500  0.024981  0.000519
    97      2      3  0.025040  0.023781  0.001259
    98      2      4  0.022890  0.023013  -0.000123
    99      2      5  0.021900  0.022818  -0.000918
   100      2      7  0.022500  0.022499  0.000001
   101      2      8  0.019500  0.019592  -0.000092
   102      2      9  0.017500  0.016406  0.001094
   103      2     10  0.013980  0.009303  0.004677
   104      2     12  0.013810  0.009314  0.004496
   105      2     13  0.019000  0.016354  0.002646
   106      2     14  0.020750  0.019926  0.000824
   107      2     15  0.021500  0.021879  -0.000379
   108      2     16  0.022500  0.021922  0.000578
   109      2     17  0.023220  0.022261  0.000959
   110      2     18  0.024250  0.023262  0.000988
   111      2     19  0.024210  0.023452  0.000758
   112      2     20  0.025280  0.023944  0.001336
   113      2     21  0.026090  0.023899  0.002191
   114      2     22  0.025850  0.024989  0.000861
   115      2     23  0.025860  0.025633  0.000227
   116      2     24  0.026750  0.026368  0.000382
   117      2     25  0.026750  0.026926  -0.000176
   118      2     26  0.028250  0.027795  0.000455
   119      2     27  0.028340  0.027795  0.000545
   120      2     28  0.028340  0.027804  0.000536
   121      2     29  0.029000  0.028004  0.000996
   122      2     30  0.029240  0.028070  0.001170
   123      2     31  0.029570  0.027615  0.001955
   124      2     32  0.030160  0.028964  0.001196
   125      2     33  0.030060  0.029465  0.000595
   126      2     34  0.030320  0.029722  0.000598
   127      2     35  0.029500  0.030048  -0.000548
   128      2     36  0.030490  0.030428  0.000062
   129      2     37  0.030230  0.030792  -0.000562
   130      2     38  0.030480  0.031431  -0.000951
   131      2     39  0.032470  0.032116  0.000354
   132      2     40  0.032540  0.032629  -0.000089
   133      2     41  0.032210  0.032454  -0.000244
   134      2     42  0.032470  0.033573  -0.001103
   135      2     43  0.032460  0.033491  -0.001031
   136      2     44  0.033620  0.034070  -0.000450
   137      2     45  0.033790  0.034146  -0.000356
   138      2     46  0.033790  0.034361  -0.000571
   139      2     47  0.035110  0.034707  0.000403
   140      2     48  0.035600  0.035133  0.000467
   141      2     49  0.035280  0.035859  -0.000579
   142      2     50  0.034940  0.036025  -0.001085
   143      2     51  0.035600  0.034882  0.000718
   144      2     52  0.035770  0.035758  0.000012
   145      2     53  0.035600  0.036572  -0.000972
   146      2     54  0.035850  0.037262  -0.001412
   147      2     55  0.035360  0.037717  -0.002357
   148      2     56  0.036090  0.037829  -0.001739
   149      2     57  0.035360  0.038245  -0.002885
   150      2     58  0.036340  0.038406  -0.002066
   151      2     59  0.037080  0.038381  -0.001301
   152      2     60  0.038060  0.038238  -0.000178
   153      2     61  0.038060  0.038642  -0.000582
   154      2     62  0.038550  0.039169  -0.000619
   155      2     64  0.037320  0.039165  -0.001845
   156      2     65  0.037320  0.038952  -0.001632
   157      2     66  0.038550  0.038911  -0.000361
   158      2     67  0.039040  0.039237  -0.000197
   159      2     68  0.039040  0.039542  -0.000502
   160      2     69  0.039780  0.039945  -0.000165
   161      2     70  0.040760  0.040455  0.000305
   162      2     71  0.040270  0.040991  -0.000721
   163      2     72  0.039290  0.040694  -0.001404
   164      2     75  0.040760  0.040413  0.000347
   165      2     76  0.041740  0.040967  0.000773
   166      2     77  0.041990  0.041494  0.000496
   167      2     78  0.043950  0.042011  0.001939
   168      2     80  0.043710  0.043534  0.000176
   169      2     81  0.043950  0.046099  -0.002149
   170      2     82  0.044940  0.044616  0.000324
   171      2     83  0.046160  0.044623  0.001537
   172      2     86  0.046410  0.045724  0.000686
   173      2     87  0.047390  0.046575  0.000815
   174      2     88  0.047640  0.047297  0.000343
   175      2     89  0.046160  0.047559  -0.001399
   176      2     90  0.046160  0.047665  -0.001505
   177      2     91  0.046160  0.048102  -0.001942
   178      2     93  0.050590  0.047074  0.003516
   179      2     94  0.051080  0.047482  0.003598
   180      2     96  0.052060  0.048325  0.003735
   181      3      1  0.025970  0.024086  0.001884
   182      3      2  0.024710  0.025279  -0.000569
   183      3      3  0.023440  0.024080  -0.000640
   184      3      4  0.022810  0.023312  -0.000502
   185      3      5  0.022050  0.023116  -0.001066
   186      3      7  0.022690  0.022797  -0.000107
   187      3      8  0.022050  0.022413  -0.000363
   188      3      9  0.021930  0.022331  -0.000401
   189      3     10  0.022290  0.022684  -0.000394
   190      3     11  0.021190  0.023899  -0.002709
   191      3     12  0.021550  0.021920  -0.000370
   192      3     13  0.020790  0.021184  -0.000394
   193      3     14  0.020910  0.020152  0.000758
   194      3     15  0.020550  0.019545  0.001005
   195      3     16  0.019150  0.018588  0.000562
   196      3     17  0.017760  0.018053  -0.000293
   197      3     18  0.014470  0.015163  -0.000693
   198      3     19  0.011690  0.011265  0.000425
   199      3     20  0.007900  0.006968  0.000932
   200      3     22  0.008020  0.006737  0.001283
   201      3     23  0.011310  0.011255  0.000055
   202      3     24  0.015720  0.015769  -0.000049
   203      3     25  0.017880  0.018812  -0.000932
   204      3     26  0.018400  0.019680  -0.001280
   205      3     27  0.019540  0.019694  -0.000154
   206      3     28  0.019540  0.019715  -0.000175
   207      3     29  0.020030  0.019920  0.000110
   208      3     30  0.020160  0.019986  0.000174
   209      3     31  0.020410  0.019531  0.000879
   210      3     32  0.021170  0.020880  0.000290
   211      3     33  0.021420  0.021381  0.000039
   212      3     34  0.022050  0.021638  0.000412
   213      3     35  0.022430  0.021964  0.000466
   214      3     36  0.022690  0.022344  0.000346
   215      3     37  0.023760  0.022708  0.001052
   216      3     38  0.023820  0.023347  0.000473
   217      3     39  0.024330  0.024033  0.000297
   218      3     40  0.024710  0.024546  0.000164
   219      3     41  0.024450  0.024371  0.000079
   220      3     42  0.025470  0.025490  -0.000020
   221      3     43  0.025320  0.025408  -0.000088
   222      3     44  0.025680  0.025987  -0.000307
   223      3     45  0.026240  0.026063  0.000177
   224      3     46  0.026240  0.026278  -0.000038
   225      3     47  0.026110  0.026624  -0.000514
   226      3     48  0.026730  0.027050  -0.000320
   227      3     49  0.027740  0.027776  -0.000036
   228      3     50  0.028250  0.027942  0.000308
   229      3     51  0.028630  0.026799  0.001831
   230      3     52  0.028500  0.027675  0.000825
   231      3     53  0.028230  0.028489  -0.000259
   232      3     54  0.028970  0.029179  -0.000209
   233      3     55  0.029710  0.029738  -0.000028
   234      3     56  0.029460  0.029946  -0.000486
   235      3     57  0.029710  0.030742  -0.001032
   236      3     59  0.029950  0.031220  -0.001270
   237      3     60  0.031430  0.031078  0.000352
   238      3     61  0.031430  0.031481  -0.000051
   239      3     62  0.032160  0.032014  0.000146
   240      3     65  0.031430  0.031800  -0.000370
   241      3     66  0.031430  0.031759  -0.000329
   242      3     67  0.033150  0.032085  0.001065
   243      3     68  0.033640  0.032390  0.001250
   244      3     69  0.034130  0.032793  0.001337
   245      3     70  0.034370  0.033303  0.001067
   246      3     71  0.034870  0.033839  0.001031
   247      3     72  0.034130  0.033542  0.000588
   248      3     73  0.034620  0.033582  0.001038
   249      3     74  0.034870  0.033469  0.001401
   250      3     75  0.035600  0.033261  0.002339
   251      3     76  0.036090  0.033815  0.002275
   252      3     77  0.036090  0.034342  0.001748
   253      3     78  0.037570  0.034859  0.002711
   254      3     79  0.037810  0.035553  0.002257
   255      3     80  0.038550  0.036382  0.002168
   256      3     81  0.038800  0.038947  -0.000147
   257      3     82  0.040760  0.037465  0.003295
   258      3     83  0.040510  0.037471  0.003039
   259      3     84  0.039530  0.037719  0.001811
   260      3     85  0.039290  0.038134  0.001156
   261      3     86  0.040020  0.038572  0.001448
   262      3     87  0.039780  0.039423  0.000357
   263      3     88  0.040510  0.040145  0.000365
   264      3     89  0.040020  0.040407  -0.000387
   265      3     90  0.039290  0.040513  -0.001223
   266      3     91  0.038550  0.040950  -0.002400
   267      3     92  0.039290  0.040268  -0.000978
   268      3     93  0.039040  0.039922  -0.000882
   269      3     94  0.038800  0.040330  -0.001530
   270      3     95  0.040510  0.041936  -0.001426
   271      3     96  0.040020  0.041173  -0.001153
   272      3     97  0.039530  0.040680  -0.001150
   273      3     98  0.039530  0.040750  -0.001220
   274      3     99  0.039780  0.041395  -0.001615
   275      3    100  0.039780  0.042156  -0.002376
   276      3    101  0.039530  0.044662  -0.005132
   277      3    102  0.040020  0.042580  -0.002560
   278      3    103  0.040020  0.042239  -0.002219
   279      3    104  0.041250  0.042338  -0.001088
   280      4      1  0.028120  0.027802  0.000318
   281      4      2  0.028000  0.028995  -0.000995
   282      4      3  0.027250  0.027796  -0.000546
   283      4      4  0.027120  0.027028  0.000092
   284      4      5  0.026230  0.026832  -0.000602
   285      4      6  0.025460  0.026755  -0.001295
   286      4      7  0.026100  0.026513  -0.000413
   287      4      8  0.025340  0.026129  -0.000789
   288      4      9  0.026100  0.026046  0.000054
   289      4     10  0.025590  0.026400  -0.000810
   290      4     11  0.025720  0.027615  -0.001895
   291      4     12  0.023820  0.025636  -0.001816
   292      4     13  0.022310  0.024900  -0.002590
   293      4     14  0.022050  0.023868  -0.001818
   294      4     15  0.022190  0.023261  -0.001071
   295      4     16  0.022190  0.022304  -0.000114
   296      4     17  0.022310  0.021769  0.000541
   297      4     18  0.021300  0.021615  -0.000315
   298      4     19  0.020410  0.020923  -0.000513
   299      4     20  0.019780  0.020571  -0.000791
   300      4     21  0.020280  0.019531  0.000749
   301      4     22  0.019650  0.019845  -0.000195
   302      4     23  0.019650  0.019547  0.000103
   303      4     24  0.018010  0.019192  -0.001182
   304      4     25  0.017770  0.018814  -0.001044
   305      4     26  0.018640  0.018514  0.000126
   306      4     27  0.017000  0.017590  -0.000590
   307      4     28  0.014470  0.015142  -0.000672
   308      4     29  0.010800  0.010798  0.000002
   309      4     30  0.007640  0.006552  0.001088
   310      4     32  0.007520  0.005934  0.001586
   311      4     33  0.010800  0.010561  0.000239
   312      4     34  0.013590  0.014652  -0.001062
   313      4     35  0.015860  0.016930  -0.001070
   314      4     36  0.017760  0.017310  0.000450
   315      4     37  0.017760  0.017674  0.000086
   316      4     38  0.017630  0.018313  -0.000683
   317      4     39  0.018510  0.019007  -0.000497
   318      4     40  0.019390  0.019629  -0.000239
   319      4     41  0.019270  0.019552  -0.000282
   320      4     42  0.020160  0.020692  -0.000532
   321      4     43  0.021550  0.020737  0.000813
   322      4     44  0.022810  0.021316  0.001494
   323      4     45  0.023190  0.021392  0.001798
   324      4     46  0.021800  0.021607  0.000193
   325      4     48  0.021770  0.022379  -0.000609
   326      4     49  0.022050  0.023105  -0.001055
   327      4     50  0.022050  0.023271  -0.001221
   328      4     51  0.021800  0.022128  -0.000328
   329      4     52  0.022050  0.023005  -0.000955
   330      4     53  0.024060  0.023819  0.000241
   331      4     54  0.023080  0.024508  -0.001428
   332      4     56  0.023570  0.025275  -0.001705
   333      4     66  0.026510  0.027848  -0.001338
   334      4     68  0.028230  0.028480  -0.000250
   335      4     69  0.028480  0.028882  -0.000402
   336      4     70  0.027990  0.029393  -0.001403
   337      4     71  0.027010  0.029928  -0.002918
   338      4     72  0.028720  0.029632  -0.000912
   339      4     73  0.029950  0.029671  0.000279
   340      4     74  0.028230  0.029559  -0.001329
   341      4     75  0.028970  0.029351  -0.000381
   342      4     76  0.028970  0.029904  -0.000934
   343      4     77  0.029460  0.030432  -0.000972
   344      4     78  0.029460  0.030949  -0.001489
   345      4     79  0.030690  0.031643  -0.000953
   346      4     80  0.031180  0.032472  -0.001292
   347      4     81  0.032160  0.035037  -0.002877
   348      4     82  0.034370  0.033554  0.000816
   349      4     83  0.034620  0.033561  0.001059
   350      4     84  0.036580  0.033809  0.002771
   351      4     85  0.036580  0.034224  0.002356
   352      4     86  0.036580  0.034662  0.001918
   353      4     87  0.038300  0.035513  0.002787
   354      4     88  0.038800  0.036234  0.002566
   355      4     89  0.039530  0.036497  0.003033
   356      4     90  0.039040  0.036603  0.002437
