# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
-1.333333  -13.393333  373.078853
-0.666667  -19.209167  373.078853
-0.666667  -12.370000  373.078853
6.074763  -3.719511  2065.797828
1.000000  -0.222882  122.720902
-0.331726  -4.560701  1176.571950
59.314080  -1.653878  1331.456465
-0.125000  -0.375000  77.685487
105.666667  -21.455000  373.078853
3.712260  -0.427706  211.213715
96.125000  -0.135804  260.316273
0.208333  -0.208333  109.081747
0.409979  -0.201645  109.541577
77.663501  -1.638252  1603.148717
0.235584  -2.480000  2179.066353
96.573316  -3.689992  2807.992614
22.319725  -2.395555  1987.624098
82.774335  -17.695664  6807.645066
72.284452  -1.805321  2384.075300
1.125000  -0.135804  125.206282
2.000000  -0.222882  147.878129
72.769450  -0.385329  240.150508
3.708333  -0.180461  188.345881
68.259631  -1.708323  2266.489494
4.920593  -0.470128  212.228434
73.291667  -0.180461  271.170110
58.375217  -1.850413  1319.460284
2.500000  -0.095818  157.187390
2.875000  -0.073445  166.693716
60.291667  -0.180461  194.807806
42.500000  -0.894188  201.975029
3.125000  -0.087078  172.225221
8.492147  -0.647456  182.159307
26.842225  -2.283055  2459.342980
4.000000  -0.222882  193.251714
43.352385  -2.187696  1862.385045
5.000000  -0.222882  186.813845
68.125000  -0.087078  226.609976
10.663250  -0.431190  127.986415
79.125000  -0.135804  224.710017
6.139596  -2.365075  2151.003187
4.875000  -0.087078  189.966163
4.057586  -3.075098  2062.281692
5.583333  -0.271609  184.408648
5.875000  -0.135804  184.299423
4.708333  -0.180461  190.436099
5.125000  -0.135804  186.720749
13.875000  -0.087078  199.017090
13.535956  -2.648640  2576.286913
7.691064  -1.716127  292.430909
7.125000  -0.087078  171.469515
22.240297  -14.598266  2448.055967
-0.377364  -0.980344  1609.060599
7.291667  -0.180461  169.353029
7.875000  -0.135804  150.309700
105.333333  -12.326667  373.078853
7.000000  -0.222882  172.571270
-0.666667  -25.732500  373.078853
6.000000  -0.222882  184.219650
2.980695  -10.968238  2596.903531
91.875000  -0.087078  247.608736
8.875000  -0.135804  141.320895
24.991409  -2.863313  2556.117981
9.125000  -0.087078  119.833616
11.271917  -0.412776  180.189452
22.291667  -0.180461  176.287408
9.000000  -0.222882  138.436304
-1.333333  -9.560000  208.554120
58.125000  -0.135804  263.474546
10.125000  -0.087078  103.216379
10.291667  -0.180461  103.492556
61.979540  -1.510064  1368.735885
39.297921  -1.878192  1820.126567
10.708333  -0.214439  113.102465
11.712260  -0.427706  176.138127
40.125000  -0.135804  195.099079
10.875000  -0.121057  116.200900
63.125000  -0.135804  241.387746
10.000000  -0.222882  103.455609
57.433164  -1.800556  1307.110331
9.492147  -0.647456  150.757569
90.544436  -3.169001  2234.262502
58.328293  -15.237628  6487.027996
27.291667  -0.180461  213.475553
31.291667  -0.180461  199.512952
10.389774  -1.963203  296.278480
-0.666667  -15.620000  202.716085
12.500000  -0.095818  145.002469
12.875000  -0.073445  151.624081
-1.333333  -20.732500  204.166667
11.125000  -0.082040  122.706449
1.754731  -14.263333  2626.921426
-0.666667  -8.420000  204.032907
13.125000  -0.087078  159.916242
105.333333  -9.585000  2005.765035
15.230550  -0.385329  234.337681
14.875000  -0.087078  215.394801
105.666667  -6.605000  2518.800000
14.708333  -0.180461  213.302575
101.763148  -12.977514  2702.069034
14.000000  -0.222882  198.070940
5.059355  -2.282637  2147.352433
38.896536  -23.964291  5875.104124
16.348342  -0.451570  214.208408
48.443314  -9.912639  6876.666665
44.155817  -13.269156  5431.162530
52.342062  -2.804175  1934.000566
37.153479  -1.714103  1839.050492
56.500000  -0.093383  255.615102
45.982003  -2.075566  1705.469188
15.920593  -0.470128  234.235927
15.000000  -0.160523  217.434335
15.291667  -0.169263  220.788986
42.683806  -22.711534  5839.443715
43.875000  -0.087078  237.091437
36.246106  -2.443942  1812.240411
50.970016  -3.585338  2786.593848
27.500000  -0.093383  210.771582
47.545841  -1.840716  1596.422389
32.000000  -0.222882  233.546792
51.334988  -10.995176  6971.446497
16.226755  -2.721096  2077.040611
31.146324  -12.116512  2565.606100
-1.333333  -17.226667  2046.799838
102.990930  -3.508758  2762.726224
17.549009  -0.557379  222.212080
105.333333  -14.780833  2517.111101
16.875000  -0.082040  205.982511
17.708333  -0.180461  188.920139
105.182898  -2.353750  5694.325968
17.712260  -0.427706  226.448570
105.666667  -4.688333  2009.106420
105.666667  -3.417500  202.716085
18.920593  -0.470128  237.663058
18.708333  -0.180461  149.274693
1.708333  -0.180461  139.763713
95.875000  -0.087078  259.594336
18.875000  -0.087078  145.923865
19.125000  -0.135804  137.311841
96.000000  -0.222882  260.920586
19.000000  -0.222882  143.320190
-0.375000  -0.125000  130.252635
18.000000  -0.222882  179.189395
104.161191  -3.519690  2762.253529
3.920593  -0.470128  211.710496
